,update_mean,update_jicha,total_mean,total_jicha,sample_mean,sample_jicha,forward_mean,forward_jicha,backward_mean,backward_jicha,run_id,model_name,dataset,nr_gpus,batch_size,neg_sample_size,regularization_coef,hidden_dim,gamma,lr,batch_size_eval,test,gpu,nr_procs,throughput
0,3.254,0.0,36.25633333333334,0.0,1.529,0.0,7.997,0.0,23.468333333333334,0.0,run_0,TransE_l1,FB15k,0,1000,200,1e-07,400,16.0,0.01,16,true,a30,1,27.581388079324068
1,1.7146666666666668,0.0,6.917666666666666,0.0,1.2583333333333333,0.0,1.9026666666666667,0.0,2.037,0.0,run_1,TransE_l1,FB15k,1,1000,200,1e-07,400,16.0,0.01,16,true,a30,1,144.5574133860165
2,4.676166666666667,0.30100000000000016,13.533999999999999,0.0006666666666639287,1.6804999999999999,0.05166666666666653,4.428333333333333,0.40200000000000014,2.689166666666667,0.07566666666666721,run_2,TransE_l1,FB15k,2,1000,200,1e-07,400,16.0,0.01,16,true,a30,2,147.77597162701346
3,4.8373333333333335,0.21933333333333316,14.213222222222221,0.0003333333333337407,1.6770000000000003,0.09066666666666645,4.645111111111111,0.6393333333333331,2.688333333333333,0.11533333333333307,run_3,TransE_l1,FB15k,3,1000,200,1e-07,400,16.0,0.01,16,true,a30,3,211.07106841047852
4,4.8726666666666665,0.4363333333333319,14.627916666666666,0.00033333333333551707,1.79725,0.057666666666666755,4.900583333333333,0.3503333333333334,2.8513333333333333,0.41633333333333367,run_4,TransE_l1,FB15k,4,1000,200,1e-07,400,16.0,0.01,16,true,a30,4,273.4497393682172
5,5.137,0.32533333333333303,14.990333333333334,0.0006666666666639287,1.7667333333333333,0.19133333333333336,4.974066666666666,0.05400000000000027,2.675133333333333,0.5076666666666667,run_5,TransE_l1,FB15k,5,1000,200,1e-07,400,16.0,0.01,16,true,a30,5,333.5482866736341
6,5.119,0.1670000000000007,15.093111111111114,0.0010000000000012221,1.8397222222222223,0.20000000000000018,5.022555555555555,0.3596666666666666,2.7642222222222226,0.23666666666666725,run_6,TransE_l1,FB15k,6,1000,200,1e-07,400,16.0,0.01,16,true,a30,6,397.5323547166477
7,5.156,0.2203333333333326,15.295761904761903,0.0013333333333349628,1.8337619047619047,0.19200000000000017,5.094904761904762,0.402333333333333,2.705095238095238,0.503333333333333,run_7,TransE_l1,FB15k,7,1000,200,1e-07,400,16.0,0.01,16,true,a30,7,457.6431068674485
8,5.300000000000001,0.3856666666666664,15.115208333333333,0.0009999999999976694,1.8821666666666668,0.13133333333333308,4.941000000000001,0.5586666666666673,2.721125,0.4479999999999995,run_8,TransE_l1,FB15k,8,1000,200,1e-07,400,16.0,0.01,16,true,a30,8,529.2682590657864
18,3.254,0.0,36.25633333333334,0.0,1.529,0.0,7.997,0.0,23.468333333333334,0.0,run_0,TransE_l1,FB15k,0,1000,200,1e-07,400,16.0,0.01,16,true,,1,27.581388079324068
19,1.7146666666666668,0.0,6.917666666666666,0.0,1.2583333333333333,0.0,1.9026666666666667,0.0,2.037,0.0,run_1,TransE_l1,FB15k,1,1000,200,1e-07,400,16.0,0.01,16,true,,1,144.5574133860165
20,4.676166666666667,0.30100000000000016,13.533999999999999,0.0006666666666639287,1.6804999999999999,0.05166666666666653,4.428333333333333,0.40200000000000014,2.689166666666667,0.07566666666666721,run_2,TransE_l1,FB15k,2,1000,200,1e-07,400,16.0,0.01,16,true,,2,147.77597162701346
21,4.8373333333333335,0.21933333333333316,14.213222222222221,0.0003333333333337407,1.6770000000000003,0.09066666666666645,4.645111111111111,0.6393333333333331,2.688333333333333,0.11533333333333307,run_3,TransE_l1,FB15k,3,1000,200,1e-07,400,16.0,0.01,16,true,,3,211.07106841047852
22,4.8726666666666665,0.4363333333333319,14.627916666666666,0.00033333333333551707,1.79725,0.057666666666666755,4.900583333333333,0.3503333333333334,2.8513333333333333,0.41633333333333367,run_4,TransE_l1,FB15k,4,1000,200,1e-07,400,16.0,0.01,16,true,,4,273.4497393682172
23,5.137,0.32533333333333303,14.990333333333334,0.0006666666666639287,1.7667333333333333,0.19133333333333336,4.974066666666666,0.05400000000000027,2.675133333333333,0.5076666666666667,run_5,TransE_l1,FB15k,5,1000,200,1e-07,400,16.0,0.01,16,true,,5,333.5482866736341
24,5.119,0.1670000000000007,15.093111111111114,0.0010000000000012221,1.8397222222222223,0.20000000000000018,5.022555555555555,0.3596666666666666,2.7642222222222226,0.23666666666666725,run_6,TransE_l1,FB15k,6,1000,200,1e-07,400,16.0,0.01,16,true,,6,397.5323547166477
25,5.156,0.2203333333333326,15.295761904761903,0.0013333333333349628,1.8337619047619047,0.19200000000000017,5.094904761904762,0.402333333333333,2.705095238095238,0.503333333333333,run_7,TransE_l1,FB15k,7,1000,200,1e-07,400,16.0,0.01,16,true,,7,457.6431068674485
26,5.300000000000001,0.3856666666666664,15.115208333333333,0.0009999999999976694,1.8821666666666668,0.13133333333333308,4.941000000000001,0.5586666666666673,2.721125,0.4479999999999995,run_8,TransE_l1,FB15k,8,1000,200,1e-07,400,16.0,0.01,16,true,,8,529.2682590657864
