dataset,model_name,nr_gpus,batch_size,cached_emb_type,backwardMode,run_id,throughput,[D] Forward_Mean,[D] Backward_Mean,[D] Optimize_Mean,[D] AfterBackward_Mean
FB15k,TransE,2,400,KGExternelEmbedding,PySync,run_2,19392.058951859213,5454.0,23875.0,1353.0,0.0
FB15k,TransE,2,400,KnownLocalCachedEmbedding,CppAsyncV2,run_0,41924.32659050414,3372.0,3281.0,924.56,4819.0
FB15k,TransE,2,400,KnownShardedCachedEmbedding,PySync,run_4,11244.957339443094,14002.0,48854.0,5725.0,0.0
FB15k,TransE,2,400,None,CppSync,run_1,63943.729518024134,3860.0,3863.0,2590.0,0.0
FB15k,TransE,2,400,TorchNativeStdEmb,PySync,run_3,3449.658699392429,3894.0,215650.0,1130.0,0.0
FB15k,TransE,2,800,KGExternelEmbedding,PySync,run_7,30366.869745108084,7657.0,37955.0,1771.0,0.0
FB15k,TransE,2,800,KnownLocalCachedEmbedding,CppAsyncV2,run_5,62553.75713503793,4004.0,3697.0,1368.0,7706.0
FB15k,TransE,2,800,KnownShardedCachedEmbedding,PySync,run_9,20627.594564628835,14939.0,50673.0,9154.0,0.0
FB15k,TransE,2,800,None,CppSync,run_6,125470.51442910916,4035.0,4037.0,3271.0,0.0
FB15k,TransE,2,800,TorchNativeStdEmb,PySync,run_8,3630.002881314787,4719.0,411351.0,1455.0,0.0
FB15k,TransE,2,1200,KGExternelEmbedding,PySync,run_12,26657.780739753416,8826.0,76754.0,2202.0,0.0
FB15k,TransE,2,1200,KnownLocalCachedEmbedding,CppAsyncV2,run_10,75115.01987418234,4348.0,4357.0,1751.0,10659.0
FB15k,TransE,2,1200,KnownShardedCachedEmbedding,PySync,run_14,29768.180295945327,15939.0,52550.0,10112.0,0.0
FB15k,TransE,2,1200,None,CppSync,run_11,157016.68302257115,5141.0,4014.0,4231.0,0.0
FB15k,TransE,2,1200,TorchNativeStdEmb,PySync,run_13,3611.9229576833122,5365.0,647195.0,1684.0,0.0
FB15k,TransE,4,400,KGExternelEmbedding,PySync,run_17,46666.27778101849,6675.0,21898.0,1383.0,0.0
FB15k,TransE,4,400,KnownLocalCachedEmbedding,CppAsyncV2,run_15,52188.662013177636,3525.0,3353.0,1021.0,13558.0
FB15k,TransE,4,400,KnownShardedCachedEmbedding,PySync,run_19,18802.293879853343,17316.0,56991.0,8087.0,0.0
FB15k,TransE,4,400,None,CppSync,run_16,106453.75914836994,4865.0,4086.0,3007.0,0.0
FB15k,TransE,4,400,TorchNativeStdEmb,PySync,run_18,6579.299057926616,3908.0,216674.0,1019.0,0.0
FB15k,TransE,4,800,KGExternelEmbedding,PySync,run_22,59476.23738453246,7921.0,38036.0,1848.0,0.0
FB15k,TransE,4,800,KnownLocalCachedEmbedding,CppAsyncV2,run_20,81952.51875944374,4047.0,3826.0,1423.0,17921.0
FB15k,TransE,4,800,KnownShardedCachedEmbedding,PySync,run_24,31939.315300928236,17974.0,67180.0,12210.0,0.0
FB15k,TransE,4,800,None,CppSync,run_21,217140.53063717173,4981.0,4107.0,3599.0,0.0
FB15k,TransE,4,800,TorchNativeStdEmb,PySync,run_23,6944.022498632896,5329.0,404539.0,1595.0,0.0
FB15k,TransE,4,1200,KGExternelEmbedding,PySync,run_27,68952.63815666614,8213.0,51307.0,2280.0,0.0
FB15k,TransE,4,1200,KnownLocalCachedEmbedding,CppAsyncV2,run_25,91899.44668874807,4663.0,4299.0,1808.0,22972.0
FB15k,TransE,4,1200,KnownShardedCachedEmbedding,PySync,run_29,42960.32435044885,19124.0,74450.0,14162.0,0.0
FB15k,TransE,4,1200,None,CppSync,run_26,266311.58455392806,5913.0,4156.0,4272.0,0.0
FB15k,TransE,4,1200,TorchNativeStdEmb,PySync,run_28,7683.602072651659,5943.0,579621.0,1792.0,0.0
FB15k,TransE,6,400,KGExternelEmbedding,PySync,run_32,63088.16571158193,6859.0,24524.0,1457.0,0.0
FB15k,TransE,6,400,KnownLocalCachedEmbedding,CppAsyncV2,run_30,61056.27353210543,4344.0,3468.0,1286.0,19439.0
FB15k,TransE,6,400,KnownShardedCachedEmbedding,PySync,run_34,23483.595729899513,21339.0,70000.0,8734.0,0.0
FB15k,TransE,6,400,None,CppSync,run_31,165975.10373443982,4675.0,4044.0,2826.0,0.0
FB15k,TransE,6,400,TorchNativeStdEmb,PySync,run_33,10033.486762068402,3449.0,225611.0,1005.0,0.0
FB15k,TransE,6,800,KGExternelEmbedding,PySync,run_37,76632.02260644667,4860.0,36240.0,1467.0,0.0
FB15k,TransE,6,800,KnownLocalCachedEmbedding,CppAsyncV2,run_35,95296.71027814726,4394.0,3812.0,1509.0,25256.0
