num_workers,distribution,zipf_alpha,cache_ratio,batch_size,emb_choice,backwardMode,throughput
4,uniform,0.0,0.01,512,KGExternelEmbedding,0,120925.0
4,uniform,0.0,0.01,512,KnownLocalCachedEmbedding,CppAsyncV2,214540.0
4,uniform,0.0,0.01,512,KnownLocalCachedEmbedding,PySync,49757.0
4,uniform,0.0,0.01,512,KnownShardedCachedEmbedding,0,25691.0
4,uniform,0.0,0.01,512,TorchNativeStdEmb,0,42681.0
4,uniform,0.0,0.01,1024,KGExternelEmbedding,0,115276.0
4,uniform,0.0,0.01,1024,KnownLocalCachedEmbedding,CppAsyncV2,320125.0
4,uniform,0.0,0.01,1024,KnownLocalCachedEmbedding,PySync,93725.0
4,uniform,0.0,0.01,1024,KnownShardedCachedEmbedding,0,47898.0
4,uniform,0.0,0.01,1024,TorchNativeStdEmb,0,85260.0
4,uniform,0.0,0.01,2048,KGExternelEmbedding,0,95362.0
4,uniform,0.0,0.01,2048,KnownLocalCachedEmbedding,CppAsyncV2,383628.0
4,uniform,0.0,0.01,2048,KnownLocalCachedEmbedding,PySync,173456.0
4,uniform,0.0,0.01,2048,KnownShardedCachedEmbedding,0,60711.0
4,uniform,0.0,0.01,2048,TorchNativeStdEmb,0,92701.0
4,uniform,0.0,0.01,4096,KGExternelEmbedding,0,141146.0
4,uniform,0.0,0.01,4096,KnownLocalCachedEmbedding,CppAsyncV2,470291.0
4,uniform,0.0,0.01,4096,KnownLocalCachedEmbedding,PySync,302209.0
4,uniform,0.0,0.01,4096,KnownShardedCachedEmbedding,0,113424.0
4,uniform,0.0,0.01,4096,TorchNativeStdEmb,0,181485.0
4,uniform,0.0,0.01,6144,KGExternelEmbedding,0,168726.0
4,uniform,0.0,0.01,6144,KnownLocalCachedEmbedding,CppAsyncV2,422239.0
4,uniform,0.0,0.01,6144,KnownLocalCachedEmbedding,PySync,393871.0
4,uniform,0.0,0.01,6144,KnownShardedCachedEmbedding,0,160984.0
4,uniform,0.0,0.01,6144,TorchNativeStdEmb,0,271021.0
4,uniform,0.0,0.01,8192,KGExternelEmbedding,0,182078.0
4,uniform,0.0,0.01,8192,KnownLocalCachedEmbedding,CppAsyncV2,529506.0
4,uniform,0.0,0.01,8192,KnownLocalCachedEmbedding,PySync,427490.0
4,uniform,0.0,0.01,8192,KnownShardedCachedEmbedding,0,206085.0
4,uniform,0.0,0.01,8192,TorchNativeStdEmb,0,357811.0
4,uniform,0.0,0.05,512,KGExternelEmbedding,0,106284.0
